DTINSTRU,DTCALDAT,TOTAL OCCURRENCES
andicam,2017-07-01,531
andicam,2017-07-02,573
andicam,2017-07-03,242
andicam,2017-07-04,695
andicam,2017-07-05,193
andicam,2017-07-06,500
andicam,2017-07-07,564
andicam,2017-07-08,541
andicam,2017-07-09,538
andicam,2017-07-10,552
andicam,2017-07-11,530
andicam,2017-07-12,589
andicam,2017-07-13,590
andicam,2017-07-14,553
andicam,2017-07-15,341
andicam,2017-07-16,614
andicam,2017-07-17,623
andicam,2017-07-18,552
andicam,2017-07-19,1063
andicam,2017-07-20,749
andicam,2017-07-21,545
andicam,2017-07-22,570
andicam,2017-07-23,567
andicam,2017-07-24,554
andicam,2017-07-25,53
ccd_imager,2017-07-07,175
ccd_imager,2017-07-08,316
ccd_imager,2017-07-09,136
ccd_imager,2017-07-10,234
ccd_imager,2017-07-11,144
ccd_imager,2017-07-12,189
ccd_imager,2017-07-13,144
ccd_imager,2017-07-20,97
ccd_imager,2017-07-21,180
ccd_imager,2017-07-22,112
ccd_imager,2017-07-23,130
ccd_imager,2017-07-24,195
cosmos,2017-07-03,119
cosmos,2017-07-04,152
cosmos,2017-07-05,22
cosmos,2017-07-06,210
cosmos,2017-07-07,228
cosmos,2017-07-08,294
cosmos,2017-07-09,316
decam,2017-07-01,512
decam,2017-07-02,496
decam,2017-07-14,111
decam,2017-07-15,118
decam,2017-07-16,433
decam,2017-07-17,385
decam,2017-07-18,371
decam,2017-07-19,93
decam,2017-07-20,377
decam,2017-07-21,451
decam,2017-07-22,287
decam,2017-07-23,311
decam,2017-07-24,349
decam,2017-07-25,142
echelle,2017-07-01,353
echelle,2017-07-02,367
echelle,2017-07-03,292
echelle,2017-07-04,299
echelle,2017-07-05,262
echelle,2017-07-06,363
echelle,2017-07-07,353
echelle,2017-07-08,348
echelle,2017-07-09,338
echelle,2017-07-10,361
echelle,2017-07-11,359
echelle,2017-07-12,354
echelle,2017-07-13,335
echelle,2017-07-14,350
echelle,2017-07-15,116
echelle,2017-07-16,373
goodman,2017-07-03,424
goodman,2017-07-04,80
goodman,2017-07-06,12
goodman,2017-07-09,351
goodman,2017-07-10,175
goodman,2017-07-11,1388
goodman,2017-07-12,490
goodman,2017-07-13,538
goodman,2017-07-14,442
goodman,2017-07-15,72
goodman,2017-07-16,128
goodman,2017-07-17,201
goodman,2017-07-18,901
goodman,2017-07-19,142
goodman,2017-07-20,143
goodman,2017-07-21,136
goodman,2017-07-22,440
goodman,2017-07-24,273
hdi,2017-07-01,120
hdi,2017-07-02,70
hdi,2017-07-03,87
hdi,2017-07-04,68
hdi,2017-07-05,171
hdi,2017-07-06,106
hdi,2017-07-07,75
hdi,2017-07-08,80
hdi,2017-07-09,75
hdi,2017-07-10,3
hdi,2017-07-11,81
hdi,2017-07-12,50
kosmos,2017-07-01,83
kosmos,2017-07-02,86
kosmos,2017-07-03,153
kosmos,2017-07-04,64
kosmos,2017-07-05,134
kosmos,2017-07-06,106
kosmos,2017-07-07,81
kosmos,2017-07-08,33
kosmos,2017-07-09,55
kosmos,2017-07-13,8
kosmos,2017-07-14,30
kosmos,2017-07-15,23
kosmos,2017-07-16,40
kosmos,2017-07-17,61
kosmos,2017-07-18,44
kosmos,2017-07-19,65
kosmos,2017-07-20,51
kosmos,2017-07-21,144
kosmos,2017-07-22,77
kosmos,2017-07-23,31
kosmos,2017-07-24,134
kosmos,2017-07-25,12
mosaic3,2017-07-10,20
mosaic3,2017-07-12,64
mosaic3,2017-07-13,2
mosaic3,2017-07-25,3
sami,2017-07-12,25
sami,2017-07-17,3
sami,2017-07-18,103
sami,2017-07-20,152
sami,2017-07-21,101
sami,2017-07-23,168
soi,2017-07-01,426
soi,2017-07-02,335
soi,2017-07-06,4
whirc,2017-07-20,105
whirc,2017-07-21,55
whirc,2017-07-24,245
whirc,2017-07-25,83
