DTINSTRU,FILTER,TOTAL OCCURRENCES
cosmos,OG530 cOG530,401
cosmos,Open,918
decam,VR DECam c0007 6300.0 2600.0,400
decam,Y DECam c0005 10095.0 1130.0,145
decam,g DECam SDSS c0001 4720.0 1520.0,1091
decam,i DECam SDSS c0003 7835.0 1470.0,599
decam,r DECam SDSS c0002 6415.0 1480.0,1083
decam,solid plate 0.0 0.0,330
decam,u DECam c0006 3500.0 1000.0,167
decam,z DECam SDSS c0004 9260.0 1520.0,621
goodman,<NO FILTER>,5221
goodman,B-Bessel,40
goodman,I-Bessel,41
goodman,R-Bessel,32
goodman,V-Bessel,108
goodman,g-SDSS,528
goodman,i-SDSS,132
goodman,r-SDSS,66
goodman,u-Stromgren,59
goodman,y PRECAM,73
goodman,z-SDSS,36
kosmos,GG395 kGG395,22
kosmos,GG395 unknown,5
kosmos,GG495 kGG495,188
kosmos,Ha 2 k1563,12
kosmos,Halpha k1564,5
kosmos,ND5.0m ND5.0m,20
kosmos,OG530 kOG530,3
kosmos,OIII k1590,39
kosmos,Open,782
kosmos,SDSS g k1584,33
kosmos,SDSS i k1586,11
kosmos,SDSS r k1585,96
mosaic3,VR k1039,86
mosaic3,unknown,3
